icd9v1_code	icd9v1_desc	icd10cm_code	icd10cm_desc	chapter	section	section_desc	parent_code	warning
78841	Urinary frequency	R350	Frequency of micturition	18	R30-R39	Symptoms and signs involving the genitourinary system	R35	
78830	Urinary incontinence, unspecified	R32	Unspecified urinary incontinence	18	R30-R39	Symptoms and signs involving the genitourinary system		
78843	Nocturia	R351	Nocturia	18	R30-R39	Symptoms and signs involving the genitourinary system	R35	
78900	Abdominal pain, unspecified site	R109	Unspecified abdominal pain	18	R10-R19	Symptoms and signs involving the digestive system and abdomen	R10	
78901	Abdominal pain, right upper quadrant	R1011	Right upper quadrant pain	18	R10-R19	Symptoms and signs involving the digestive system and abdomen	R101	
78903	Abdominal pain, right lower quadrant	R1031	Right lower quadrant pain	18	R10-R19	Symptoms and signs involving the digestive system and abdomen	R103	
78904	Abdominal pain, left lower quadrant	R1032	Left lower quadrant pain	18	R10-R19	Symptoms and signs involving the digestive system and abdomen	R103	
78906	Abdominal pain, epigastric	R1013	Epigastric pain	18	R10-R19	Symptoms and signs involving the digestive system and abdomen	R101	
78907	Abdominal pain, generalized	R1084	Generalized abdominal pain	18	R10-R19	Symptoms and signs involving the digestive system and abdomen	R108	
78959	Other ascites	R188	Other ascites	18	R10-R19	Symptoms and signs involving the digestive system and abdomen	R18	
78909	Abdominal pain, other specified site	R1010	Upper abdominal pain, unspecified	18	R10-R19	Symptoms and signs involving the digestive system and abdomen	R101	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
79029	Other abnormal glucose	R7309	Other abnormal glucose					
7905	Other nonspecific abnormal serum enzyme levels	R748	Abnormal levels of other serum enzymes	18	R70-R79	Abnormal findings on examination of blood, without diagnosis	R74	
7904	Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [LDH]	R740	Nonspecific elevation of levels of transaminase and lactic acid dehydrogenase [LDH]	18	R70-R79	Abnormal findings on examination of blood, without diagnosis	R74	
7906	Other abnormal blood chemistry	R7889	Finding of other specified substances, not normally found in blood	18	R70-R79	Abnormal findings on examination of blood, without diagnosis	R788	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
79092	Abnormal coagulation profile	R791	Abnormal coagulation profile					
7919	Other nonspecific findings on examination of urine	R825	Elevated urine levels of drugs, medicaments and biological substances	18	R80-R82		R82	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
7921	Nonspecific abnormal findings in stool contents	R195	Other fecal abnormalities					
79099	Other nonspecific findings on examination of blood	R7889	Finding of other specified substances, not normally found in blood	18	R70-R79	Abnormal findings on examination of blood, without diagnosis	R788	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
79311	Solitary pulmonary nodule	R911	Solitary pulmonary nodule	18	R90-R94	Abnormal findings on diagnostic imaging and in function studies, without diagnosis	R91	
79319	Other nonspecific abnormal finding of lung field	R918	Other nonspecific abnormal finding of lung field	18	R90-R94		R91	
79431	Nonspecific abnormal electrocardiogram [ECG] [EKG]	R9431	Abnormal electrocardiogram [ECG] [EKG]	18	R90-R94		R943	
79902	Hypoxemia	R0902	Hypoxemia	18	R00-R09	Symptoms and signs involving the circulatory and respiratory systems	R090	
79439	Other nonspecific abnormal results of function study of cardiovascular system	R9439	Abnormal result of other cardiovascular function study	18	R90-R94	Abnormal findings on diagnostic imaging and in function studies, without diagnosis	R943	
7993	Debility, unspecified	R5381	Other malaise	18	R50-R69	General symptoms and signs	R538	
7999	Other unknown and unspecified cause of morbidity and mortality	R69	Illness, unspecified	18	R50-R69	General symptoms and signs		This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
99591	Sepsis	A419	Sepsis, unspecified organism					
95901	Head injury, unspecified	S098XXA	Other specified injuries of head, initial encounter	19	S00-S09	Injuries to the head	S098	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
99592	Severe sepsis	R6520	Severe sepsis without septic shock	18	R50-R69	General symptoms and signs	R652	
		A0472		
		A09	Infectious gastroenteritis and colitis, unspecified	1	A00-A09			
		A047	Enterocolitis due to Clostridium difficile	1	A00-A09		A04	
		A4150	Gram-negative sepsis, unspecified	1	A30-A49	Other bacterial diseases	A415	
		A4151	Sepsis due to Escherichia coli [E. coli]	1	A30-A49		A415	
		A4189	Other specified sepsis	1	A30-A49		A418	
		A084	Viral intestinal infection, unspecified	1	A00-A09		A08	
		B029	Zoster without complications	1	B00-B09	Viral infections characterized by skin and mucous membrane lesions	B02	
		A419	Sepsis, unspecified organism	1	A30-A49	Other bacterial diseases	A41	
		B1920	Unspecified viral hepatitis C without hepatic coma	1	B15-B19	Viral hepatitis	B192	
		B349	Viral infection, unspecified	1	B25-B34	Other viral diseases	B34	
		B351	Tinea unguium	1	B35-B49	Mycoses	B35	
		B370	Candidal stomatitis	1	B35-B49	Mycoses	B37	
		B372	Candidiasis of skin and nail	1	B35-B49	Mycoses	B37	
		B373	Candidiasis of vulva and vagina	1	B35-B49		B37	
		B3749						
		B379	Candidiasis, unspecified	1	B35-B49		B37	
		B952	Enterococcus as the cause of diseases classified elsewhere	1	B95-B97		B95	
		B9561	Methicillin susceptible Staphylococcus aureus infection as the cause of diseases classified elsewhere	1	B95-B97		B956	
		B957	Other staphylococcus as the cause of diseases classified elsewhere	1	B95-B97	Bacterial and viral infectious agents	B95	
		B961	Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified elsewhere	1	B95-B97	Bacterial and viral infectious agents	B96	
		B9620	Unspecified Escherichia coli [E. coli] as the cause of diseases classified elsewhere	1	B95-B97	Bacterial and viral infectious agents	B962	
		B9562	Methicillin resistant Staphylococcus aureus infection as the cause of diseases classified elsewhere	1	B95-B97		B956	
		B965	Pseudomonas (aeruginosa) (mallei) (pseudomallei) as the cause of diseases classified elsewhere	1	B95-B97	Bacterial and viral infectious agents	B96	
		B9789	Other viral agents as the cause of diseases classified elsewhere	1	B95-B97	Bacterial and viral infectious agents	B978	
		B9689	Other specified bacterial agents as the cause of diseases classified elsewhere	1	B95-B97	Bacterial and viral infectious agents	B968	
		C189	Malignant neoplasm of colon, unspecified	2	C15-C26	Malignant neoplasms of digestive organs	C18	
		C20	Malignant neoplasm of rectum	2	C15-C26	Malignant neoplasms of digestive organs		
		C50911	Malignant neoplasm of unspecified site of right female breast	2	C50		C5091	
		C3490	Malignant neoplasm of unspecified part of unspecified bronchus or lung	2	C30-C39		C349	
		C50912	Malignant neoplasm of unspecified site of left female breast	2	C50	Malignant neoplasms of breast	C5091	
		C50919	Malignant neoplasm of unspecified site of unspecified female breast	2	C50	Malignant neoplasms of breast	C5091	
		C649	Malignant neoplasm of unspecified kidney, except renal pelvis	2	C64-C68	Malignant neoplasms of urinary tract	C64	
		C679	Malignant neoplasm of bladder, unspecified	2	C64-C68	Malignant neoplasms of urinary tract	C67	
		C772						
		C61	Malignant neoplasm of prostate	2	C60-C63	Malignant neoplasms of male genital organs		
		C7800	Secondary malignant neoplasm of unspecified lung	2	C76-C80	Malignant neoplasms of ill-defined, other secondary and unspecified sites	C780	
		C786						
		C787	Secondary malignant neoplasm of liver and intrahepatic bile duct	2	C76-C80	Malignant neoplasms of ill-defined, other secondary and unspecified sites	C78	
		C7989	Secondary malignant neoplasm of other specified sites	2	C76-C80	Malignant neoplasms of ill-defined, other secondary and unspecified sites	C798	
		C7951						
		C799						
		C801						
		C9000						
		D120	Benign neoplasm of cecum	2	D10-D36	Benign neoplasms, except benign neuroendocrine tumors	D12	
		D122	Benign neoplasm of ascending colon	2	D10-D36		D12	
		C8590	Non-Hodgkin lymphoma, unspecified, unspecified site	2	C81-C96	Malignant neoplasms of lymphoid, hematopoietic and related tissue	C859	
		D123	Benign neoplasm of transverse colon	2	D10-D36	Benign neoplasms, except benign neuroendocrine tumors	D12	
		D124	Benign neoplasm of descending colon	2	D10-D36	Benign neoplasms, except benign neuroendocrine tumors	D12	
		D125	Benign neoplasm of sigmoid colon	2	D10-D36		D12	
		D128	Benign neoplasm of rectum	2	D10-D36	Benign neoplasms, except benign neuroendocrine tumors	D12	
		D126	Benign neoplasm of colon, unspecified	2	D10-D36	Benign neoplasms, except benign neuroendocrine tumors	D12	
		D229	Melanocytic nevi, unspecified	2	D10-D36		D22	
		D259	Leiomyoma of uterus, unspecified	2	D10-D36	Benign neoplasms, except benign neuroendocrine tumors	D25	
		D469	Myelodysplastic syndrome, unspecified	2	D37-D48	Neoplasms of uncertain behavior, polycythemia vera and myelodysplastic syndromes	D46	
		D369	Benign neoplasm, unspecified site	2	D10-D36	Benign neoplasms, except benign neuroendocrine tumors	D36	
		D472	Monoclonal gammopathy	2	D37-D48	Neoplasms of uncertain behavior, polycythemia vera and myelodysplastic syndromes	D47	
		D473	Essential (hemorrhagic) thrombocythemia	2	D37-D48	Neoplasms of uncertain behavior, polycythemia vera and myelodysplastic syndromes	D47	
		D485	Neoplasm of uncertain behavior of skin	2	D37-D48	Neoplasms of uncertain behavior, polycythemia vera and myelodysplastic syndromes	D48	
		D490	Neoplasm of unspecified behavior of digestive system	2	D49	Neoplasms of unspecified behavior	D49	
		D508	Other iron deficiency anemias	3	D50-D53	Nutritional anemias	D50	
		D500	Iron deficiency anemia secondary to blood loss (chronic)	3	D50-D53	Nutritional anemias	D50	
		D510	Vitamin B12 deficiency anemia due to intrinsic factor deficiency	3	D50-D53	Nutritional anemias	D51	
		D519	Vitamin B12 deficiency anemia, unspecified	3	D50-D53	Nutritional anemias	D51	
		D539	Nutritional anemia, unspecified	3	D50-D53	Nutritional anemias	D53	
		D509	Iron deficiency anemia, unspecified	3	D50-D53	Nutritional anemias	D50	
		D61810	Antineoplastic chemotherapy induced pancytopenia	3	D60-D64	Aplastic and other anemias and other bone marrow failure syndromes	D6181	
		D61818	Other pancytopenia	3	D60-D64	Aplastic and other anemias and other bone marrow failure syndromes	D6181	
		D630	Anemia in neoplastic disease	3	D60-D64	Aplastic and other anemias and other bone marrow failure syndromes	D63	
		D62	Acute posthemorrhagic anemia	3	D60-D64	Aplastic and other anemias and other bone marrow failure syndromes		
		D631						
		D638	Anemia in other chronic diseases classified elsewhere	3	D60-D64	Aplastic and other anemias and other bone marrow failure syndromes	D63	
		D6489	Other specified anemias	3	D60-D64	Aplastic and other anemias and other bone marrow failure syndromes	D648	
		D649	Anemia, unspecified	3	D60-D64	Aplastic and other anemias and other bone marrow failure syndromes	D64	
		D6832	Hemorrhagic disorder due to extrinsic circulating anticoagulants	3	D65-D69		D683	
		D6859	Other primary thrombophilia	3	D65-D69	Coagulation defects, purpura and other hemorrhagic conditions	D685	
		D6869	Other thrombophilia	3	D65-D69		D686	
		D6481	Anemia due to antineoplastic chemotherapy	3	D60-D64	Aplastic and other anemias and other bone marrow failure syndromes	D648	
		D689	Coagulation defect, unspecified	3	D65-D69	Coagulation defects, purpura and other hemorrhagic conditions	D68	
		D6959	Other secondary thrombocytopenia	3	D65-D69	Coagulation defects, purpura and other hemorrhagic conditions	D695	
		D696	Thrombocytopenia, unspecified	3	D65-D69	Coagulation defects, purpura and other hemorrhagic conditions	D69	
		D701	Agranulocytosis secondary to cancer chemotherapy	3	D70-D77	Other disorders of blood and blood-forming organs	D70	
		D709	Neutropenia, unspecified	3	D70-D77	Other disorders of blood and blood-forming organs	D70	
		D72819	Decreased white blood cell count, unspecified	3	D70-D77	Other disorders of blood and blood-forming organs	D7281	
		D849	Immunodeficiency, unspecified	3	D80-D89	Certain disorders involving the immune mechanism	D84	
		D7589	Other specified diseases of blood and blood-forming organs	3	D70-D77	Other disorders of blood and blood-forming organs	D758	
		D72829	Elevated white blood cell count, unspecified	3	D70-D77	Other disorders of blood and blood-forming organs	D7282	
		D899	Disorder involving the immune mechanism, unspecified	3	D80-D89	Certain disorders involving the immune mechanism	D89	
		E034						
		E039	Hypothyroidism, unspecified	4	E00-E07	Disorders of thyroid gland	E03	
		E038	Other specified hypothyroidism	4	E00-E07	Disorders of thyroid gland	E03	
		E041	Nontoxic single thyroid nodule	4	E00-E07	Disorders of thyroid gland	E04	
		E042	Nontoxic multinodular goiter	4	E00-E07		E04	
		E049	Nontoxic goiter, unspecified	4	E00-E07	Disorders of thyroid gland	E04	
		E0590	Thyrotoxicosis, unspecified without thyrotoxic crisis or storm	4	E00-E07	Disorders of thyroid gland	E059	
		E079	Disorder of thyroid, unspecified	4	E00-E07	Disorders of thyroid gland	E07	
		E109	Type 1 diabetes mellitus without complications	4	E08-E13	Diabetes mellitus	E10	
		E1121						
		E1122	Type 2 diabetes mellitus with diabetic chronic kidney disease	4	E08-E13	Diabetes mellitus	E112	
		E1129	Type 2 diabetes mellitus with other diabetic kidney complication	4	E08-E13	Diabetes mellitus	E112	
		E11319	Type 2 diabetes mellitus with unspecified diabetic retinopathy without macular edema	4	E08-E13	Diabetes mellitus	E1131	
		E1139	Type 2 diabetes mellitus with other diabetic ophthalmic complication	4	E08-E13	Diabetes mellitus	E113	
		E1136	Type 2 diabetes mellitus with diabetic cataract	4	E08-E13	Diabetes mellitus	E113	
		E1140	Type 2 diabetes mellitus with diabetic neuropathy, unspecified	4	E08-E13	Diabetes mellitus	E114	
		E1142	Type 2 diabetes mellitus with diabetic polyneuropathy	4	E08-E13	Diabetes mellitus	E114	
		E1149	Type 2 diabetes mellitus with other diabetic neurological complication	4	E08-E13	Diabetes mellitus	E114	
		E1143	Type 2 diabetes mellitus with diabetic autonomic (poly)neuropathy	4	E08-E13	Diabetes mellitus	E114	
		E1151	Type 2 diabetes mellitus with diabetic peripheral angiopathy without gangrene	4	E08-E13	Diabetes mellitus	E115	
		E1152	Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene	4	E08-E13	Diabetes mellitus	E115	
		E1159	Type 2 diabetes mellitus with other circulatory complications	4	E08-E13	Diabetes mellitus	E115	
		E11622	Type 2 diabetes mellitus with other skin ulcer	4	E08-E13	Diabetes mellitus	E1162	
		E11621	Type 2 diabetes mellitus with foot ulcer	4	E08-E13	Diabetes mellitus	E1162	
		E11628						
		E11649	Type 2 diabetes mellitus with hypoglycemia without coma	4	E08-E13	Diabetes mellitus	E1164	
		E1165	Type 2 diabetes mellitus with hyperglycemia	4	E08-E13	Diabetes mellitus	E116	
		E1169	Type 2 diabetes mellitus with other specified complication	4	E08-E13	Diabetes mellitus	E116	
		E118	Type 2 diabetes mellitus with unspecified complications	4	E08-E13	Diabetes mellitus	E11	
		E119						
		E213						
		E162	Hypoglycemia, unspecified	4	E15-E16	Other disorders of glucose regulation and pancreatic internal secretion	E16	
		E279	Disorder of adrenal gland, unspecified	4	E20-E35	Disorders of other endocrine glands	E27	
		E2740	Unspecified adrenocortical insufficiency	4	E20-E35	Disorders of other endocrine glands	E274	
		E278	Other specified disorders of adrenal gland	4	E20-E35	Disorders of other endocrine glands	E27	
		E2839	Other primary ovarian failure	4	E20-E35	Disorders of other endocrine glands	E283	
		E43	Unspecified severe protein-calorie malnutrition	4	E40-E46	Malnutrition		
		E440	Moderate protein-calorie malnutrition	4	E40-E46		E44	
		E46	Unspecified protein-calorie malnutrition	4	E40-E46			
		E559	Vitamin D deficiency, unspecified	4	E50-E64		E55	
		E538	Deficiency of other specified B group vitamins	4	E50-E64	Other nutritional deficiencies	E53	
		E6609	Other obesity due to excess calories	4	E65-E68	Overweight, obesity and other hyperalimentation	E660	
		E611	Iron deficiency	4	E50-E64	Other nutritional deficiencies	E61	
		E662	Morbid (severe) obesity with alveolar hypoventilation	4	E65-E68	Overweight, obesity and other hyperalimentation	E66	
		E6601	Morbid (severe) obesity due to excess calories	4	E65-E68	Overweight, obesity and other hyperalimentation	E660	
		E669	Obesity, unspecified	4	E65-E68	Overweight, obesity and other hyperalimentation	E66	
		E663	Overweight	4	E65-E68	Overweight, obesity and other hyperalimentation	E66	
		E7800		
		E780	Pure hypercholesterolemia	4	E70-E88	Metabolic disorders	E78	
		E781	Pure hyperglyceridemia	4	E70-E88	Metabolic disorders	E78	
		E782	Mixed hyperlipidemia	4	E70-E88	Metabolic disorders	E78	
		E7849		
		E784	Other hyperlipidemia	4	E70-E88	Metabolic disorders	E78	
		E785						
		E806	Other disorders of bilirubin metabolism	4	E70-E88	Metabolic disorders	E80	
		E807	Disorder of bilirubin metabolism, unspecified	4	E70-E88	Metabolic disorders	E80	
		E8339	Other disorders of phosphorus metabolism	4	E70-E88	Metabolic disorders	E833	
		E8352	Hypercalcemia	4	E70-E88	Metabolic disorders	E835	
		E861	Hypovolemia	4	E70-E88	Metabolic disorders	E86	
		E8351						
		E860	Dehydration	4	E70-E88	Metabolic disorders	E86	
		E8342	Hypomagnesemia	4	E70-E88	Metabolic disorders	E834	
		E869	Volume depletion, unspecified	4	E70-E88	Metabolic disorders	E86	
		E870	Hyperosmolality and hypernatremia	4	E70-E88	Metabolic disorders	E87	
		E873	Alkalosis	4	E70-E88	Metabolic disorders	E87	
		E874	Mixed disorder of acid-base balance	4	E70-E88	Metabolic disorders	E87	
		E872	Acidosis	4	E70-E88	Metabolic disorders	E87	
		E871	Hypo-osmolality and hyponatremia	4	E70-E88	Metabolic disorders	E87	
		E875	Hyperkalemia	4	E70-E88	Metabolic disorders	E87	
		E876	Hypokalemia	4	E70-E88	Metabolic disorders	E87	
		E8809	Other disorders of plasma-protein metabolism, not elsewhere classified	4	E70-E88	Metabolic disorders	E880	
		E8770	Fluid overload, unspecified	4	E70-E88	Metabolic disorders	E877	
		E878	Other disorders of electrolyte and fluid balance, not elsewhere classified	4	E70-E88	Metabolic disorders	E87	
		E890	Postprocedural hypothyroidism	4	E89	Postprocedural endocrine and metabolic complications and disorders, not elsewhere classified	E89	
		F0150	Vascular dementia without behavioral disturbance	5	F01-F09	Mental disorders due to known physiological conditions	F015	
E8889	Unspecified fall	W19XXXA	Unspecified fall, initial encounter	20	W00-W19	Slipping, tripping, stumbling and falls	W19	
		F0390	Unspecified dementia without behavioral disturbance	5	F01-F09	Mental disorders due to known physiological conditions	F039	
		F0391	Unspecified dementia with behavioral disturbance	5	F01-F09	Mental disorders due to known physiological conditions	F039	
		F0280	Dementia in other diseases classified elsewhere without behavioral disturbance	5	F01-F09	Mental disorders due to known physiological conditions	F028	
		F1010	Alcohol abuse, uncomplicated	5	F10-F19	Mental and behavioral disorders due to psychoactive substance use	F101	
		F1020	Alcohol dependence, uncomplicated	5	F10-F19	Mental and behavioral disorders due to psychoactive substance use	F102	
		F1021	Alcohol dependence, in remission	5	F10-F19	Mental and behavioral disorders due to psychoactive substance use	F102	
		F05	Delirium due to known physiological condition	5	F01-F09	Mental disorders due to known physiological conditions		
		F1120						
		F1190	Opioid use, unspecified, uncomplicated	5	F10-F19	Mental and behavioral disorders due to psychoactive substance use	F119	
		F17210	Nicotine dependence, cigarettes, uncomplicated	5	F10-F19	Mental and behavioral disorders due to psychoactive substance use	F1721	
		F17211	Nicotine dependence, cigarettes, in remission	5	F10-F19	Mental and behavioral disorders due to psychoactive substance use	F1721	
		F17200	Nicotine dependence, unspecified, uncomplicated	5	F10-F19	Mental and behavioral disorders due to psychoactive substance use	F1720	
		F1290	Cannabis use, unspecified, uncomplicated	5	F10-F19	Mental and behavioral disorders due to psychoactive substance use	F129	
		F1910	Other psychoactive substance abuse, uncomplicated	5	F10-F19	Mental and behavioral disorders due to psychoactive substance use	F191	
		F17290	Nicotine dependence, other tobacco product, uncomplicated	5	F10-F19	Mental and behavioral disorders due to psychoactive substance use	F1729	
		F319	Bipolar disorder, unspecified	5	F30-F39	Mood [affective] disorders	F31	
		F329	Major depressive disorder, single episode, unspecified	5	F30-F39	Mood [affective] disorders	F32	
		F330	Major depressive disorder, recurrent, mild	5	F30-F39	Mood [affective] disorders	F33	
		F331	Major depressive disorder, recurrent, moderate	5	F30-F39	Mood [affective] disorders	F33	
		F39	Unspecified mood [affective] disorder	5	F30-F39	Mood [affective] disorders		
		F410	Panic disorder [episodic paroxysmal anxiety] without agoraphobia	5	F40-F48	Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders	F41	
		F332						
		F339	Major depressive disorder, recurrent, unspecified	5	F30-F39	Mood [affective] disorders	F33	
		F411						
		F418	Other specified anxiety disorders	5	F40-F48	Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders	F41	
		F4321	Adjustment disorder with depressed mood	5	F40-F48	Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders	F432	
		F5101	Primary insomnia	5	F50-F59	Behavioral syndromes associated with physiological disturbances and physical factors	F510	
		F4310	Post-traumatic stress disorder, unspecified	5	F40-F48	Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders	F431	
		F419	Anxiety disorder, unspecified	5	F40-F48	Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders	F41	
		G20	Parkinson's disease	6	G20-G26	Extrapyramidal and movement disorders		
		G2581	Restless legs syndrome	6	G20-G26	Extrapyramidal and movement disorders	G258	
		G319	Degenerative disease of nervous system, unspecified	6	G30-G32	Other degenerative diseases of the nervous system	G31	
		G3184	Mild cognitive impairment, so stated	6	G30-G32	Other degenerative diseases of the nervous system	G318	
		G40909	Epilepsy, unspecified, not intractable, without status epilepticus	6	G40-G47	Episodic and paroxysmal disorders	G4090	
		G43909	Migraine, unspecified, not intractable, without status migrainosus	6	G40-G47	Episodic and paroxysmal disorders	G4390	
		G459	Transient cerebral ischemic attack, unspecified	6	G40-G47	Episodic and paroxysmal disorders	G45	
		G4709	Other insomnia	6	G40-G47	Episodic and paroxysmal disorders	G470	
		G4710	Hypersomnia, unspecified	6	G40-G47	Episodic and paroxysmal disorders	G471	
		G4700	Insomnia, unspecified	6	G40-G47	Episodic and paroxysmal disorders	G470	
		G479	Sleep disorder, unspecified	6	G40-G47	Episodic and paroxysmal disorders	G47	
		G309	Alzheimer's disease, unspecified	6	G30-G32	Other degenerative diseases of the nervous system	G30	
		G4730	Sleep apnea, unspecified	6	G40-G47	Episodic and paroxysmal disorders	G473	
		G4733	Obstructive sleep apnea (adult) (pediatric)	6	G40-G47	Episodic and paroxysmal disorders	G473	
		G8191	Hemiplegia, unspecified affecting right dominant side	6	G80-G83	Cerebral palsy and other paralytic syndromes	G819	
		G8918	Other acute postprocedural pain	6	G89-G99	Other disorders of the nervous system	G891	
		G8929	Other chronic pain	6	G89-G99	Other disorders of the nervous system	G892	
		G8194	Hemiplegia, unspecified affecting left nondominant side	6	G80-G83	Cerebral palsy and other paralytic syndromes	G819	
		G893	Neoplasm related pain (acute) (chronic)	6	G89-G99	Other disorders of the nervous system	G89	
		G92	Toxic encephalopathy	6	G89-G99	Other disorders of the nervous system		
		G9341	Metabolic encephalopathy	6	G89-G99	Other disorders of the nervous system	G934	
		G9340	Encephalopathy, unspecified	6	G89-G99	Other disorders of the nervous system	G934	
		G620	Drug-induced polyneuropathy	6	G60-G65	Polyneuropathies and other disorders of the peripheral nervous system	G62	
		G936	Cerebral edema	6	G89-G99	Other disorders of the nervous system	G93	
		G9389	Other specified disorders of brain	6	G89-G99	Other disorders of the nervous system	G938	
		H2511	Age-related nuclear cataract, right eye	7	H25-H28	Disorders of lens	H251	
		H04123	Dry eye syndrome of bilateral lacrimal glands	7	H00-H05	Disorders of eyelid, lacrimal system and orbit	H0412	
		G894	Chronic pain syndrome	6	G89-G99	Other disorders of the nervous system	G89	
		G629	Polyneuropathy, unspecified	6	G60-G65	Polyneuropathies and other disorders of the peripheral nervous system	G62	
		G939	Disorder of brain, unspecified	6	G89-G99	Other disorders of the nervous system	G93	
		H3530	Unspecified macular degeneration	7	H30-H36	Disorders of choroid and retina	H353	
		H2513	Age-related nuclear cataract, bilateral	7	H25-H28	Disorders of lens	H251	
		H269	Unspecified cataract	7	H25-H28	Disorders of lens	H26	
		H5213	Myopia, bilateral	7	H49-H52	Disorders of ocular muscles, binocular movement, accommodation and refraction	H521	
		H532	Diplopia	7	H53-H54	Visual disturbances and blindness	H53	
		H538	Other visual disturbances	7	H53-H54	Visual disturbances and blindness	H53	
		H6123	Impacted cerumen, bilateral	8	H60-H62	Diseases of external ear	H612	
		H539	Unspecified visual disturbance	7	H53-H54	Visual disturbances and blindness	H53	
		H903	Sensorineural hearing loss, bilateral	8	H90-H94	Other disorders of ear	H90	
		H547	Unspecified visual loss	7	H53-H54	Visual disturbances and blindness	H54	
		H905	Unspecified sensorineural hearing loss	8	H90-H94	Other disorders of ear		
		H9193	Unspecified hearing loss, bilateral	8	H90-H94	Other disorders of ear	H919	
		H9190	Unspecified hearing loss, unspecified ear	8	H90-H94	Other disorders of ear	H919	
		I058	Other rheumatic mitral valve diseases	9	I05-I09	Chronic rheumatic heart diseases	I05	
		I059	Rheumatic mitral valve disease, unspecified	9	I05-I09	Chronic rheumatic heart diseases	I05	
		I071	Rheumatic tricuspid insufficiency	9	I05-I09	Chronic rheumatic heart diseases	I07	
		I081	Rheumatic disorders of both mitral and tricuspid valves	9	I05-I09	Chronic rheumatic heart diseases	I08	
		I082	Rheumatic disorders of both aortic and tricuspid valves	9	I05-I09	Chronic rheumatic heart diseases	I08	
		I080	Rheumatic disorders of both mitral and aortic valves	9	I05-I09	Chronic rheumatic heart diseases	I08	
		I083	Combined rheumatic disorders of mitral, aortic and tricuspid valves	9	I05-I09	Chronic rheumatic heart diseases	I08	
		I10	Essential (primary) hypertension	9	I10-I15	Hypertensive diseases		
		G609	Hereditary and idiopathic neuropathy, unspecified	6	G60-G65	Polyneuropathies and other disorders of the peripheral nervous system	G60	
		I110	Hypertensive heart disease with heart failure	9	I10-I15	Hypertensive diseases	I11	
		I119	Hypertensive heart disease without heart failure	9	I10-I15	Hypertensive diseases	I11	
		I088	Other rheumatic multiple valve diseases	9	I05-I09	Chronic rheumatic heart diseases	I08	
		I129	Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease	9	I10-I15	Hypertensive diseases	I12	
		I1310	Hypertensive heart and chronic kidney disease without heart failure, with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease	9	I10-I15	Hypertensive diseases	I131	
		I159	Secondary hypertension, unspecified	9	I10-I15	Hypertensive diseases	I15	
		I130	Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease	9	I10-I15	Hypertensive diseases	I13	
		I132	Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease	9	I10-I15	Hypertensive diseases	I13	
		I160		I160 - did not match any ICD codes.
		I161		I161 - did not match any ICD codes.
		I209	Angina pectoris, unspecified	9	I20-I25	Ischemic heart diseases	I20	
		I213	ST elevation (STEMI) myocardial infarction of unspecified site	9	I20-I25	Ischemic heart diseases	I21	
		I208	Other forms of angina pectoris	9	I20-I25	Ischemic heart diseases	I20	
		I200	Unstable angina	9	I20-I25	Ischemic heart diseases	I20	
		I214	Non-ST elevation (NSTEMI) myocardial infarction	9	I20-I25	Ischemic heart diseases	I21	
		I21A1		Did not match any records, maybe I21.4?
		I248	Other forms of acute ischemic heart disease	9	I20-I25	Ischemic heart diseases	I24	
		I240	Acute coronary thrombosis not resulting in myocardial infarction	9	I20-I25	Ischemic heart diseases	I24	
		I2510	Atherosclerotic heart disease of native coronary artery without angina pectoris	9	I20-I25	Ischemic heart diseases	I251	
		I25110	Atherosclerotic heart disease of native coronary artery with unstable angina pectoris	9	I20-I25	Ischemic heart diseases	I2511	
		I25118	Atherosclerotic heart disease of native coronary artery with other forms of angina pectoris	9	I20-I25	Ischemic heart diseases	I2511	
		I255	Ischemic cardiomyopathy	9	I20-I25	Ischemic heart diseases	I25	
		I252	Old myocardial infarction	9	I20-I25	Ischemic heart diseases	I25	
		I25119	Atherosclerotic heart disease of native coronary artery with unspecified angina pectoris	9	I20-I25	Ischemic heart diseases	I2511	
		I25810	Atherosclerosis of coronary artery bypass graft(s) without angina pectoris	9	I20-I25	Ischemic heart diseases	I2581	
